Id,ChargeOff
0,0
1,1
2,0
3,0
4,0
5,1
6,0
7,1
8,0
9,1
10,0
11,0
12,1
13,1
14,1
15,0
16,1
17,0
18,0
19,1
20,1
21,0
22,0
23,1
24,0
25,0
26,0
27,0
28,1
29,1
30,0
31,0
32,0
33,1
34,1
35,0
36,0
37,1
38,0
39,0
40,1
41,0
42,0
43,0
44,1
45,0
46,0
47,1
48,0
49,0
50,0
51,1
52,0
53,0
54,0
55,0
56,1
57,1
58,1
59,1
60,0
61,1
62,1
63,0
64,1
65,0
66,0
67,1
68,0
69,1
70,1
71,1
72,1
73,1
74,1
75,0
76,1
77,0
78,0
79,0
80,0
81,1
82,0
83,0
84,0
85,1
86,1
87,1
88,0
89,0
90,0
91,1
92,1
93,0
94,0
95,1
96,1
97,1
98,0
99,0
100,1
101,1
102,0
103,1
104,1
105,0
106,1
107,1
108,0
109,0
110,0
111,0
112,1
113,1
114,1
115,0
116,1
117,0
118,0
119,1
120,0
121,0
122,1
123,1
124,1
125,1
126,0
127,0
128,0
129,0
130,0
131,1
132,0
133,1
134,0
135,1
136,0
137,0
138,0
139,0
140,1
141,1
142,0
143,0
144,1
145,0
146,1
147,0
148,1
149,1
150,0
151,1
152,0
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,0
162,1
163,0
164,1
165,0
166,0
167,0
168,0
169,1
170,0
171,1
172,0
173,0
174,0
175,0
176,0
177,0
178,1
179,0
180,1
181,0
182,0
183,0
184,1
185,1
186,0
187,1
188,0
189,1
190,1
191,0
192,0
193,0
194,0
195,1
196,1
197,0
198,0
199,0
200,0
201,0
202,1
203,0
204,0
205,0
206,1
207,0
208,1
209,1
210,1
211,1
212,1
213,1
214,0
215,0
216,0
217,1
218,1
219,1
220,0
221,0
222,0
223,0
224,0
225,0
226,1
227,0
228,0
229,0
230,1
231,1
232,0
233,0
234,1
235,1
236,1
237,1
238,1
239,0
240,1
241,0
242,0
243,1
244,1
245,1
246,0
247,0
248,1
249,0
250,0
251,1
252,1
253,0
254,1
255,0
256,1
257,0
258,1
259,0
260,0
261,1
262,0
263,1
264,1
265,0
266,1
267,1
268,1
269,0
270,1
271,0
272,1
273,0
274,0
275,1
276,0
277,0
278,1
279,0
280,1
281,0
282,1
283,1
284,1
285,1
286,0
287,1
288,1
289,1
290,0
291,0
292,1
293,1
294,1
295,0
296,1
297,1
298,0
299,0
300,1
301,0
302,0
303,0
304,1
305,0
306,1
307,0
308,0
309,0
310,0
311,1
312,1
313,1
314,0
315,1
316,1
317,1
318,0
319,1
320,0
321,0
322,0
323,1
324,1
325,1
326,1
327,1
328,0
329,0
330,1
331,0
332,0
333,0
334,0
335,1
336,0
337,1
338,0
339,0
340,0
341,1
342,1
343,0
344,0
345,0
346,0
347,1
348,0
349,0
350,0
351,0
352,0
353,1
354,0
355,0
356,1
357,0
358,0
359,0
360,1
361,0
362,0
363,1
364,1
365,1
366,1
367,0
368,1
369,1
370,0
371,1
372,1
373,1
374,1
375,1
376,0
377,0
378,0
379,1
380,0
381,1
382,1
383,1
384,1
385,0
386,1
387,1
388,1
389,0
390,0
391,1
392,0
393,0
394,0
395,1
396,0
397,1
398,1
399,1
400,1
401,1
402,1
403,0
404,1
405,1
406,0
407,0
408,0
409,1
410,0
411,0
412,0
413,1
414,1
415,1
416,0
417,0
418,1
419,1
420,1
421,1
422,0
423,1
424,1
425,0
426,0
427,0
428,0
429,1
430,0
431,0
432,1
433,1
434,1
435,0
436,0
437,0
438,1
439,0
440,1
441,1
442,1
443,1
444,1
445,0
446,0
447,0
448,0
449,0
450,1
451,1
452,0
453,1
454,1
455,1
456,1
457,0
458,1
459,1
460,1
461,1
462,0
463,1
464,1
465,0
466,1
467,0
468,0
469,1
470,0
471,0
472,0
473,0
474,1
475,1
476,0
477,0
478,0
479,1
480,0
481,0
482,0
483,0
484,1
485,1
486,0
487,0
488,1
489,1
490,1
491,0
492,1
493,0
494,0
495,1
496,0
497,1
498,0
499,0
500,1
501,1
502,1
503,1
504,0
505,1
506,1
507,0
508,0
509,1
510,1
511,1
512,0
513,0
514,1
515,1
516,0
517,0
518,1
519,0
520,0
521,1
522,0
523,1
524,0
525,0
526,1
527,0
528,1
529,0
530,1
531,1
532,0
533,0
534,0
535,1
536,0
537,0
538,1
539,1
540,0
541,0
542,0
543,0
544,1
545,0
546,0
547,0
548,0
549,0
550,1
551,1
552,1
553,0
554,1
555,1
556,0
557,1
558,0
559,1
560,0
561,1
562,1
563,1
564,1
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,1
575,1
576,1
577,1
578,0
579,0
580,1
581,0
582,1
583,1
584,0
585,0
586,0
587,1
588,0
589,0
590,0
591,0
592,0
593,1
594,0
595,0
596,0
597,1
598,1
599,1
600,1
601,0
602,0
603,0
604,0
605,0
606,1
607,0
608,1
609,1
610,0
611,0
612,1
613,0
614,1
615,1
616,0
617,1
618,0
619,1
620,1
621,0
622,0
623,1
624,0
625,0
626,0
627,1
628,1
629,1
630,1
631,1
632,0
633,0
634,1
635,0
636,0
637,0
638,1
639,1
640,0
641,0
642,1
643,0
644,0
645,0
646,0
647,0
648,0
649,1
650,0
651,0
652,1
653,0
654,0
655,1
656,1
657,1
658,1
659,1
660,0
661,1
662,1
663,1
664,1
665,1
666,1
667,0
668,0
669,0
670,1
671,0
672,1
673,0
674,1
675,1
676,1
677,1
678,1
679,1
680,1
681,1
682,0
683,1
684,0
685,1
686,0
687,1
688,1
689,1
690,1
691,1
692,0
693,0
694,0
695,1
696,1
697,1
698,0
699,1
700,0
701,1
702,1
703,1
704,1
705,1
706,0
707,1
708,1
709,1
710,0
711,1
712,0
713,1
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,1
722,1
723,0
724,0
725,1
726,0
727,0
728,0
729,0
730,0
731,1
732,0
733,0
734,1
735,1
736,1
737,1
738,0
739,0
740,1
741,1
742,1
743,1
744,1
745,0
746,1
747,0
748,0
749,0
750,1
751,0
752,0
753,1
754,0
755,0
756,1
757,1
758,1
759,0
760,0
761,1
762,1
763,0
764,0
765,1
766,0
767,1
768,0
769,1
770,1
771,0
772,0
773,0
774,1
775,1
776,0
777,0
778,0
779,1
780,0
781,0
782,1
783,1
784,1
785,1
786,1
787,0
788,1
789,0
790,0
791,0
792,1
793,1
794,1
795,1
796,0
797,1
798,1
799,1
800,0
801,1
802,0
803,0
804,1
805,1
806,1
807,1
808,1
809,0
810,0
811,0
812,0
813,0
814,1
815,1
816,0
817,0
818,0
819,1
820,1
821,1
822,1
823,0
824,1
825,1
826,0
827,1
828,1
829,1
830,1
831,0
832,1
833,0
834,1
835,0
836,0
837,0
838,1
839,1
840,1
841,1
842,1
843,0
844,1
845,1
846,1
847,1
848,0
849,0
850,0
851,0
852,0
853,0
854,1
855,0
856,0
857,1
858,0
859,0
860,1
861,1
862,1
863,0
864,1
865,1
866,1
867,0
868,1
869,1
870,1
871,0
872,1
873,1
874,1
875,1
876,0
877,0
878,1
879,1
880,1
881,0
882,0
883,1
884,0
885,1
886,1
887,1
888,0
889,1
890,1
891,1
892,0
893,1
894,0
895,1
896,1
897,0
898,1
899,0
900,1
901,0
902,0
903,1
904,1
905,1
906,1
907,0
908,1
909,0
910,0
911,0
912,1
913,1
914,0
915,1
916,0
917,0
918,1
919,0
920,1
921,0
922,1
923,0
924,0
925,0
926,1
927,1
928,1
929,0
930,1
931,0
932,0
933,0
934,0
935,0
936,0
937,0
938,0
939,0
940,1
941,1
942,1
943,0
944,0
945,0
946,1
947,0
948,1
949,0
950,1
951,1
952,0
953,1
954,0
955,1
956,1
957,0
958,0
959,0
960,1
961,1
962,1
963,0
964,0
965,0
966,0
967,1
968,1
969,1
970,0
971,0
972,1
973,1
974,0
975,0
976,0
977,0
978,1
979,1
980,0
981,0
982,1
983,1
984,1
985,1
986,1
987,0
988,0
989,1
990,1
991,0
992,1
993,0
994,0
995,0
996,1
997,0
998,0
999,1
1000,0
1001,1
1002,1
1003,0
1004,1
1005,1
1006,0
1007,1
1008,1
1009,1
1010,0
1011,1
1012,0
1013,0
1014,1
1015,1
1016,1
1017,1
1018,0
1019,0
1020,1
1021,1
1022,0
1023,0
1024,0
1025,1
1026,1
1027,1
1028,0
1029,1
1030,0
1031,1
1032,0
1033,0
1034,0
1035,0
1036,0
1037,1
1038,0
1039,1
1040,1
1041,1
1042,1
1043,0
1044,1
1045,1
1046,0
1047,1
1048,0
1049,0
1050,0
1051,1
1052,0
1053,0
1054,0
1055,1
1056,0
1057,1
1058,0
1059,1
