Id,ChargeOff
0,1
1,0
2,0
3,0
4,1
5,0
6,0
7,1
8,1
9,1
10,0
11,1
12,1
13,1
14,1
15,1
16,0
17,1
18,1
19,1
20,1
21,0
22,1
23,0
24,0
25,0
26,0
27,1
28,1
29,0
30,1
31,1
32,1
33,1
34,0
35,0
36,0
37,0
38,0
39,0
40,1
41,0
42,0
43,1
44,1
45,1
46,1
47,0
48,0
49,0
50,0
51,1
52,0
53,1
54,0
55,1
56,1
57,0
58,1
59,1
60,0
61,1
62,0
63,0
64,0
65,1
66,1
67,0
68,1
69,0
70,0
71,1
72,1
73,0
74,1
75,0
76,1
77,0
78,0
79,0
80,0
81,1
82,1
83,1
84,0
85,1
86,1
87,1
88,0
89,1
90,1
91,1
92,0
93,1
94,0
95,1
96,0
97,1
98,0
99,0
100,1
101,1
102,1
103,1
104,0
105,1
106,1
107,0
108,1
109,1
110,1
111,1
112,1
113,0
114,1
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,1
123,0
124,1
125,0
126,1
127,0
128,0
129,1
130,1
131,1
132,1
133,0
134,1
135,1
136,1
137,1
138,0
139,1
140,1
141,0
142,0
143,1
144,0
145,1
146,0
147,0
148,1
149,1
150,0
151,1
152,0
153,1
154,1
155,0
156,0
157,1
158,1
159,0
160,0
161,1
162,1
163,0
164,0
165,0
166,0
167,1
168,0
169,0
170,1
171,0
172,0
173,1
174,0
175,1
176,0
177,1
178,1
179,0
180,1
181,1
182,0
183,0
184,0
185,1
186,0
187,1
188,0
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,0
199,0
200,1
201,0
202,0
203,0
204,0
205,1
206,1
207,1
208,0
209,0
210,1
211,1
212,1
213,0
214,0
215,1
216,0
217,1
218,1
219,0
220,1
221,1
222,0
223,1
224,1
225,0
226,0
227,1
228,0
229,1
230,0
231,0
232,1
233,1
234,1
235,0
236,0
237,0
238,0
239,0
240,1
241,1
242,0
243,0
244,0
245,0
246,1
247,1
248,0
249,0
250,0
251,0
252,1
253,1
254,0
255,0
256,0
257,1
258,0
259,1
260,1
261,1
262,0
263,0
264,0
265,1
266,0
267,1
268,1
269,1
270,0
271,0
272,1
273,1
274,1
275,1
276,0
277,1
278,0
279,0
280,1
281,0
282,1
283,1
284,0
285,0
286,1
287,0
288,1
289,1
290,0
291,1
292,1
293,1
294,0
295,1
296,1
297,1
298,0
299,1
300,0
301,0
302,0
303,1
304,0
305,0
306,0
307,1
308,0
309,0
310,0
311,0
312,0
313,1
314,1
315,0
316,1
317,1
318,0
319,1
320,0
321,1
322,1
323,1
324,0
325,1
326,1
327,0
328,0
329,1
330,0
331,0
332,0
333,1
334,1
335,0
336,0
337,0
338,0
339,0
340,0
341,1
342,0
343,0
344,0
345,1
346,0
347,0
348,1
349,1
350,0
351,0
352,0
353,0
354,1
355,1
356,0
357,1
358,0
359,0
360,0
361,0
362,1
363,1
364,1
365,0
366,0
367,1
368,0
369,0
370,1
371,0
372,0
373,1
374,0
375,0
376,0
377,0
378,0
379,1
380,0
381,0
382,0
383,1
384,1
385,0
386,1
387,0
388,0
389,0
390,0
391,0
392,1
393,0
394,0
395,0
396,1
397,1
398,0
399,0
400,0
401,0
402,0
403,0
404,1
405,1
406,0
407,0
408,1
409,0
410,0
411,0
412,1
413,0
414,0
415,0
416,0
417,0
418,1
419,1
420,0
421,1
422,0
423,0
424,1
425,1
426,1
427,0
428,1
429,0
430,1
431,1
432,0
433,0
434,1
435,1
436,0
437,1
438,1
439,0
440,1
441,0
442,0
443,0
444,1
445,1
446,0
447,0
448,0
449,1
450,0
451,0
452,0
453,1
454,0
455,0
456,0
457,1
458,1
459,0
460,0
461,0
462,1
463,1
464,1
465,0
466,1
467,0
468,0
469,1
470,0
471,1
472,0
473,0
474,1
475,1
476,0
477,0
478,1
479,0
480,1
481,0
482,1
483,1
484,0
485,0
486,0
487,0
488,1
489,0
490,1
491,0
492,0
493,0
494,1
495,0
496,0
497,1
498,1
499,0
500,1
501,0
502,0
503,0
504,0
505,0
506,1
507,1
508,1
509,1
510,0
511,0
512,1
513,0
514,1
515,0
516,0
517,0
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,0
528,0
529,0
530,0
531,1
532,0
533,1
534,0
535,1
536,1
537,0
538,1
539,1
540,0
541,0
542,0
543,1
544,1
545,1
546,1
547,0
548,0
549,0
550,1
551,1
552,0
553,0
554,1
555,1
556,1
557,0
558,1
559,1
560,1
561,1
562,1
563,0
564,1
565,1
566,1
567,0
568,1
569,1
570,0
571,1
572,0
573,0
574,1
575,1
576,0
577,1
578,0
579,0
580,0
581,0
582,1
583,0
584,1
585,0
586,0
587,0
588,1
589,0
590,0
591,0
592,1
593,1
594,0
595,0
596,1
597,1
598,1
599,1
600,0
601,0
602,0
603,1
604,0
605,0
606,1
607,1
608,1
609,0
610,1
611,0
612,1
613,0
614,1
615,1
616,0
617,1
618,1
619,0
620,0
621,1
622,1
623,0
624,0
625,1
626,0
627,0
628,0
629,0
630,1
631,0
632,0
633,1
634,1
635,1
636,0
637,0
638,0
639,1
640,0
641,1
642,1
643,0
644,1
645,1
646,1
647,1
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,1
657,1
658,0
659,1
660,0
661,0
662,0
663,1
664,1
665,1
666,0
667,0
668,0
669,1
670,1
671,1
672,0
673,0
674,1
675,0
676,0
677,0
678,1
679,1
680,1
681,1
682,0
683,1
684,0
685,0
686,1
687,0
688,1
689,1
690,0
691,1
692,0
693,1
694,1
695,1
696,1
697,0
698,1
699,1
700,0
701,1
702,0
703,1
704,1
705,1
706,1
707,1
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,1
716,1
717,0
718,1
719,1
720,0
721,0
722,0
723,0
724,1
725,1
726,0
727,1
728,0
729,0
730,0
731,1
732,1
733,1
734,0
735,1
736,1
737,1
738,0
739,0
740,1
741,1
742,0
743,1
744,1
745,0
746,0
747,0
748,0
749,1
750,0
751,0
752,0
753,0
754,1
755,0
756,1
757,1
758,0
759,0
760,0
761,0
762,1
763,0
764,0
765,0
766,1
767,1
768,1
769,1
770,1
771,0
772,0
773,0
774,1
775,0
776,0
777,0
778,0
779,0
780,0
781,1
782,0
783,0
784,0
785,0
786,0
787,0
788,1
789,0
790,1
791,1
792,1
793,0
794,1
795,0
796,0
797,0
798,0
799,0
800,1
801,0
802,1
803,1
804,1
805,1
806,0
807,1
808,0
809,1
810,0
811,1
812,0
813,0
814,1
815,0
816,1
817,0
818,1
819,1
820,1
821,0
822,1
823,1
824,1
825,0
826,1
827,0
828,1
829,0
830,1
831,1
832,1
833,0
834,0
835,0
836,1
837,0
838,0
839,1
840,1
841,1
842,0
843,0
844,0
845,1
846,1
847,0
848,1
849,1
850,0
851,0
852,0
853,0
854,0
855,0
856,1
857,0
858,1
859,1
860,1
861,0
862,1
863,0
864,1
865,0
866,0
867,1
868,0
869,1
870,1
871,0
872,0
873,0
874,0
875,1
876,1
877,0
878,0
879,1
880,1
881,0
882,0
883,0
884,1
885,0
886,1
887,0
888,1
889,0
890,0
891,1
892,1
893,0
894,0
895,1
896,0
897,0
898,0
899,1
900,1
901,1
902,1
903,1
904,1
905,1
906,1
907,1
908,0
909,1
910,1
911,0
912,1
913,0
914,0
915,1
916,0
917,1
918,1
919,1
920,1
921,1
922,1
923,1
924,0
925,0
926,0
927,1
928,0
929,0
930,1
931,1
932,0
933,1
934,1
935,1
936,0
937,1
938,0
939,0
940,0
941,0
942,0
943,1
944,0
945,0
946,0
947,0
948,1
949,0
950,0
951,0
952,1
953,0
954,0
955,0
956,1
957,1
958,1
959,0
960,0
961,0
962,1
963,0
964,1
965,0
966,1
967,1
968,0
969,0
970,1
971,1
972,0
973,1
974,0
975,0
976,0
977,1
978,1
979,0
980,0
981,1
982,0
983,0
984,1
985,1
986,1
987,0
988,1
989,0
990,1
991,1
992,0
993,1
994,0
995,1
996,1
997,0
998,1
999,1
1000,1
1001,1
1002,1
1003,1
1004,1
1005,0
1006,1
1007,1
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,0
1016,1
1017,0
1018,1
1019,0
1020,1
1021,1
1022,1
1023,0
1024,0
1025,0
1026,0
1027,0
1028,0
1029,1
1030,1
1031,0
1032,1
1033,1
1034,0
1035,0
1036,0
1037,0
1038,1
1039,1
1040,0
1041,0
1042,1
1043,0
1044,0
1045,1
1046,1
1047,0
1048,0
1049,1
1050,1
1051,0
1052,1
1053,1
1054,0
1055,1
1056,0
1057,0
1058,0
1059,0
1060,1
1061,1
1062,1
1063,1
1064,0
1065,0
1066,0
1067,0
1068,1
1069,0
1070,1
1071,1
1072,0
1073,1
1074,1
1075,1
1076,1
1077,0
1078,0
1079,1
1080,1
1081,0
1082,0
1083,0
1084,0
1085,1
1086,1
1087,1
1088,1
1089,0
1090,1
1091,0
1092,0
1093,1
1094,1
1095,0
1096,0
1097,1
1098,0
1099,0
1100,0
1101,1
1102,1
1103,1
1104,1
1105,1
1106,0
1107,0
1108,1
1109,1
1110,0
1111,1
1112,1
1113,0
1114,0
1115,0
1116,1
1117,0
1118,0
1119,1
1120,0
1121,0
1122,0
1123,1
1124,1
1125,1
1126,1
1127,1
1128,0
1129,1
1130,1
1131,0
1132,0
1133,0
1134,1
1135,0
1136,1
1137,1
1138,1
1139,0
1140,0
1141,1
1142,0
1143,0
1144,1
1145,0
1146,1
1147,1
1148,0
1149,0
1150,0
1151,0
1152,1
1153,0
1154,0
1155,0
1156,0
1157,0
1158,0
1159,1
1160,0
1161,0
1162,1
1163,0
1164,1
1165,0
1166,1
1167,0
1168,0
1169,0
1170,1
1171,1
1172,1
1173,1
1174,1
1175,0
1176,1
1177,0
1178,0
1179,1
1180,1
1181,0
1182,1
1183,0
1184,0
1185,1
1186,0
1187,1
1188,1
1189,0
1190,0
1191,0
1192,1
1193,0
1194,0
1195,0
1196,1
1197,0
1198,1
1199,1
1200,1
1201,1
1202,0
1203,1
1204,0
1205,0
1206,1
1207,0
1208,0
1209,0
1210,1
1211,0
1212,1
1213,0
1214,1
1215,1
1216,1
1217,1
1218,1
1219,1
1220,0
1221,0
1222,0
1223,1
1224,0
1225,0
1226,0
1227,1
1228,1
1229,1
