iter	Passed	Remaining
0	64	19382
1	81	12152
2	100	9959
3	119	8847
4	136	8028
5	153	7519
6	170	7151
7	188	6873
8	206	6677
9	224	6518
10	242	6371
11	260	6241
12	277	6130
13	295	6041
14	312	5945
15	328	5837
16	346	5767
17	363	5699
18	381	5639
19	398	5577
20	416	5536
21	434	5494
22	452	5452
23	471	5417
24	490	5391
25	507	5351
26	526	5321
27	545	5302
28	562	5261
29	579	5213
30	599	5204
31	619	5190
32	637	5161
33	657	5144
34	676	5123
35	693	5088
36	712	5063
37	731	5044
38	750	5020
39	769	4998
40	786	4970
41	806	4951
42	825	4934
43	842	4900
44	859	4873
45	877	4845
46	895	4821
47	913	4797
48	931	4772
49	951	4755
50	968	4728
51	987	4707
52	1004	4683
53	1022	4655
54	1040	4635
55	1058	4611
56	1076	4589
57	1092	4560
58	1113	4546
59	1131	4526
60	1150	4507
61	1168	4485
62	1187	4466
63	1206	4448
64	1224	4427
65	1243	4407
66	1260	4384
67	1278	4363
68	1296	4341
69	1315	4321
70	1332	4297
71	1349	4274
72	1368	4254
73	1387	4236
74	1404	4213
75	1422	4193
76	1442	4176
77	1459	4153
78	1476	4131
79	1494	4109
80	1511	4087
81	1529	4065
82	1546	4043
83	1564	4022
84	1581	3999
85	1599	3979
86	1616	3957
87	1633	3935
88	1651	3914
89	1668	3893
90	1686	3873
91	1703	3850
92	1721	3830
93	1738	3809
94	1756	3789
95	1773	3769
96	1791	3749
97	1809	3729
98	1827	3711
99	1844	3688
100	1862	3669
101	1882	3653
102	1918	3669
103	1970	3714
104	2014	3741
105	2051	3755
106	2079	3751
107	2125	3778
108	2170	3804
109	2207	3812
110	2228	3794
111	2243	3765
112	2258	3738
113	2274	3711
114	2313	3721
115	2345	3720
116	2383	3728
117	2418	3730
118	2456	3735
119	2493	3740
120	2530	3743
121	2557	3731
122	2577	3709
123	2594	3682
124	2610	3655
125	2627	3628
126	2643	3601
127	2660	3574
128	2675	3546
129	2692	3520
130	2708	3494
131	2732	3477
132	2767	3474
133	2803	3473
134	2844	3476
135	2883	3477
136	2920	3474
137	2957	3472
138	2987	3460
139	3018	3449
140	3034	3421
141	3050	3394
142	3067	3367
143	3084	3341
144	3102	3316
145	3119	3290
146	3136	3264
147	3152	3237
148	3174	3217
149	3212	3212
150	3257	3214
151	3293	3206
152	3335	3204
153	3374	3198
154	3410	3190
155	3425	3161
156	3441	3134
157	3456	3106
158	3472	3078
159	3487	3051
160	3503	3025
161	3519	2997
162	3535	2971
163	3552	2945
164	3568	2919
165	3584	2893
166	3602	2868
167	3621	2845
168	3640	2821
169	3661	2799
170	3684	2779
171	3739	2782
172	3780	2775
173	3803	2754
174	3818	2727
175	3835	2701
176	3851	2676
177	3867	2650
178	3883	2625
179	3899	2599
180	3916	2574
181	3932	2549
182	3948	2524
183	3964	2499
184	3980	2474
185	3996	2449
186	4011	2424
187	4027	2399
188	4042	2374
189	4060	2350
190	4076	2326
191	4092	2301
192	4109	2278
193	4127	2255
194	4142	2230
195	4159	2206
196	4175	2182
197	4190	2158
198	4207	2135
199	4223	2111
200	4239	2088
201	4255	2064
202	4269	2040
203	4285	2016
204	4301	1993
205	4317	1969
206	4333	1947
207	4350	1924
208	4367	1901
209	4384	1879
210	4400	1856
211	4416	1833
212	4435	1811
213	4450	1788
214	4466	1765
215	4481	1742
216	4497	1720
217	4514	1698
218	4529	1675
219	4546	1653
220	4563	1631
221	4579	1609
222	4594	1586
223	4612	1564
224	4628	1542
225	4644	1520
226	4660	1498
227	4675	1476
228	4692	1454
229	4707	1432
230	4722	1410
231	4739	1389
232	4755	1367
233	4775	1346
234	4791	1325
235	4810	1304
236	4825	1282
237	4841	1261
238	4856	1239
239	4872	1218
240	4888	1196
241	4904	1175
242	4920	1154
243	4936	1132
244	4953	1111
245	4969	1090
246	4985	1069
247	5000	1048
248	5017	1027
249	5032	1006
250	5047	985
251	5063	964
252	5080	943
253	5095	922
254	5113	902
255	5129	881
256	5146	861
257	5161	840
258	5177	819
259	5191	798
260	5208	778
261	5224	757
262	5239	737
263	5255	716
264	5271	696
265	5286	675
266	5302	655
267	5317	634
268	5333	614
269	5349	594
270	5367	574
271	5382	554
272	5399	533
273	5415	513
274	5431	493
275	5446	473
276	5462	453
277	5478	433
278	5494	413
279	5510	393
280	5526	373
281	5541	353
282	5557	333
283	5574	314
284	5589	294
285	5604	274
286	5623	254
287	5638	234
288	5662	215
289	5678	195
290	5693	176
291	5709	156
292	5726	136
293	5742	117
294	5758	97
295	5775	78
296	5790	58
297	5807	38
298	5823	19
299	5838	0
